"fight_id","winner","title_bout","weight_class","no_of_rounds","r_fighter","r_fighter_id","r_fighter_stance","r_fighter_age","b_fighter","b_fighter_id","b_fighter_stance","b_fighter_age","date","referee","referee_id","b_fighter_height","r_fighter_height","b_fighter_reach","r_fighter_reach","b_fighter_weight","r_fighter_weight","records_id","fight_id-2","b_current_lose_streak","b_current_win_streak","b_draw","b_longest_win_streak","b_losses","b_total_title_bouts","b_win_by_decision_majority","b_win_by_decision_split","b_win_by_decision_unanimous","b_win_by_ko_tko","b_win_by_submission","b_win_by_tko_doctor_stoppage","b_wins","b_total_rounds_fought","b_total_time_fought_seconds","r_current_lose_streak","r_current_win_streak","r_draw","r_longest_win_streak","r_losses","r_total_rounds_fought","r_total_time_fought_seconds","r_total_title_bouts","r_win_by_decision_majority","r_win_by_decision_split","r_win_by_decision_unanimous","r_win_by_ko_tko","r_win_by_submission","r_win_by_tko_doctor_stoppage","r_wins"
"FT2787","Blue","FALSE","Bantamweight",3,"Jumabieke Tuerxun",1195,"Orthodox",28,"Leandro Issa",1164,"Orthodox",30,"2014-07-06","Mario Yamasaki","r7",170.18,170.18,175.26,170.18,135,135,"record2787","FT2787",1,0,0,0,1,0,0,0,0,0,0,0,0,2,599,1,0,0,0,1,3,900,0,0,0,0,0,0,0,0
"FT2784","Red ","FALSE","Heavyweight",3,"Derrick Lewis",1223,"Orthodox",29,"Guto Inocente",1281,"Orthodox",28,"2014-07-06","Herb Dean","r18",190.5,190.5,195.58,200.66,205,260,"record2784","FT2784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,1,0,1,0,1,263,0,0,0,0,1,0,0,1
"FT2782","Red ","TRUE ","Light Heavyweight",4,"Corey Anderson",1274,"Orthodox",24,"Matt Van Buren",1279,NULL,28,"2014-07-06","Mario Yamasaki","r7",195.58,190.5,193.04,200.66,205,205,"record2782","FT2782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2783","Blue","TRUE ","Middleweight",4,"Dhiego Lima",1275,"Orthodox",25,"Eddie Gordon",1280,"Orthodox",30,"2014-07-06","Yves Lavigne","r20",182.88,187.96,193.04,187.96,185,170,"record2783","FT2783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2789","Red ","FALSE","Light Heavyweight",3,"Patrick Walsh",1276,NULL,25,"Daniel Spohn",1283,"Southpaw",29,"2014-07-06","Mark Smith","r108",193.04,180.34,200.66,180.34,205,185,"record2789","FT2789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2790","Red ","FALSE","Catch Weight",3,"Sarah Moras",1277,NULL,26,"Alexis Dufresne",1284,"Orthodox",23,"2014-07-06","Yves Lavigne","r20",175.26,170.18,172.72,170.18,135,135,"record2790","FT2790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2791","Draw","FALSE","Light Heavyweight",3,"Robert Drysdale",1278,"Orthodox",32,"Keith Berish",1285,"Orthodox",28,"2014-07-06","Mark Smith","r108",182.88,190.5,185.42,198.12,205,205,"record2791","FT2791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2798","Red ","FALSE","Lightweight",3,"Gleison Tibau",447,"Southpaw",30,"Pat Healy",417,"Orthodox",30,"2014-07-16","Dan Miragliotta","r25",182.88,177.8,187.96,180.34,155,155,"record2798","FT2798",5,0,0,0,5,0,0,0,0,0,0,0,0,13,739.8,1,0,0,3,8,52,696.0952381,0,0,3,5,1,4,0,13
"FT2794","Red ","FALSE","Welterweight",3,"Rick Story",649,"Southpaw",29,"Leonardo Mafra",976,"Orthodox",25,"2014-07-16","Dan Miragliotta","r25",177.8,175.26,177.8,180.34,155,170,"record2794","FT2794",1,0,0,0,1,0,0,0,0,0,0,0,0,3,641,1,0,0,6,6,39,731.9333333,0,0,2,4,2,1,0,9
"FT2793","Red ","FALSE","Lightweight",3,"Edson Barboza",757,"Orthodox",28,"Evan Dunham",631,"Southpaw",32,"2014-07-16","Keith Peterson","r48",177.8,180.34,177.8,190.5,155,155,"record2793","FT2793",2,0,0,4,5,0,0,3,1,1,1,1,7,30,704.9166667,1,0,0,4,2,20,556.4444444,0,1,1,1,4,0,0,7
