fight_id,winner,title_bout,weight_class,no_of_rounds,r_fighter,r_fighter_id,r_fighter_stance,b_fighter,b_fighter_id,b_fighter_stance,date,referee,referee_id,b_fighter_height,r_fighter_height,b_fighter_reach,r_fighter_reach,b_fighter_weight,r_fighter_weight
FT129,Red ,FALSE,Lightweight,2,Joe Moreira,67,Southpaw,Yuri Vaulin,110,Southpaw,7/27/1997,John McCarthy,r2,193.04,180.34,NULL,NULL,197,195
FT123,Red ,TRUE ,Heavyweight,3,Maurice Smith,103,Orthodox,Mark Coleman,76,Orthodox,7/27/1997,John McCarthy,r2,185.42,187.96,190.5,NULL,205,221
FT124,Red ,TRUE ,Heavyweight,3,Mark Kerr,104,Switch,Dan Bobish,106,Southpaw,7/27/1997,John McCarthy,r2,187.96,190.5,NULL,NULL,345,266
FT127,Red ,FALSE,Heavyweight,2,Mark Kerr,104,Switch,Moti Horenstein,80,Orthodox,7/27/1997,John McCarthy,r2,193.04,190.5,NULL,NULL,230,266
FT125,Red ,TRUE ,Middleweight,2,Kevin Jackson,105,Switch,Tony Fryklund,108,Orthodox,7/27/1997,John McCarthy,r2,182.88,177.8,NULL,NULL,185,199
FT128,Red ,FALSE,Lightweight,2,Kevin Jackson,105,Switch,Todd Butler,109,Southpaw,7/27/1997,John McCarthy,r2,185.42,177.8,NULL,NULL,200,199
FT126,Red ,FALSE,Heavyweight,2,Dan Bobish,106,Southpaw,Brian Johnston,77,Orthodox,7/27/1997,John McCarthy,r2,190.5,187.96,NULL,NULL,230,345
FT130,Red ,FALSE,Heavyweight,2,Alex Hunter,107,Orthodox,Sam Fulton,111,NULL,7/27/1997,Joe Hamilton,r5,NULL,175.26,NULL,NULL,NULL,226
FT131,Red ,FALSE,Lightweight,2,Tony Fryklund,108,Orthodox,Donnie Chappell,112,Southpaw,7/27/1997,Joe Hamilton,r5,180.34,182.88,NULL,NULL,178,185
FT135,Red ,FALSE,Heavyweight,2,Dave Beneteau,41,Orthodox,Carlos Barreto,114,Orthodox,10/17/1997,John McCarthy,r2,193.04,187.96,NULL,NULL,230,250
FT134,Red ,FALSE,Heavyweight,2,Randy Couture,93,Orthodox,Vitor Belfort,86,Southpaw,10/17/1997,John McCarthy,r2,182.88,185.42,187.96,190.5,185,205
FT132,Red ,TRUE ,Heavyweight,3,Maurice Smith,103,Orthodox,David Abbott,50,Switch,10/17/1997,John McCarthy,r2,182.88,187.96,NULL,NULL,265,221
FT133,Red ,TRUE ,Heavyweight,3,Mark Kerr,104,Switch,Dwayne Cason,113,Orthodox,10/17/1997,John McCarthy,r2,177.8,190.5,NULL,NULL,212,266
FT136,Red ,FALSE,Heavyweight,2,Mark Kerr,104,Switch,Greg Stott,115,Southpaw,10/17/1997,John McCarthy,r2,170.18,190.5,NULL,NULL,220,266
FT138,Red ,FALSE,Heavyweight,1,Alex Hunter,107,Orthodox,Harry Moskowitz,117,Orthodox,10/17/1997,Joe Hamilton,r5,195.58,175.26,NULL,NULL,275,226
FT137,Red ,FALSE,Heavyweight,1,Dwayne Cason,113,Orthodox,Houston Dorr,116,Orthodox,10/17/1997,Joe Hamilton,r5,185.42,177.8,NULL,NULL,210,212
FT144,Red ,FALSE,Heavyweight,2,David Abbott,50,Switch,Yoji Anjo,121,Orthodox,12/21/1997,John McCarthy,r2,180.34,182.88,NULL,NULL,205,265
FT141,Red ,FALSE,Heavyweight,2,Vitor Belfort,86,Southpaw,Joe Charles,45,Southpaw,12/21/1997,John McCarthy,r2,185.42,182.88,NULL,187.96,260,185
FT145,Red ,FALSE,Heavyweight,1,Tra Telligman,89,Orthodox,Brad Kohler,122,Orthodox,12/21/1997,Joe Hamilton,r5,175.26,187.96,NULL,NULL,220,233
FT139,Red ,TRUE ,Heavyweight,3,Randy Couture,93,Orthodox,Maurice Smith,103,Orthodox,12/21/1997,John McCarthy,r2,187.96,185.42,NULL,190.5,221,205
FT140,Red ,TRUE ,Heavyweight,2,Kazushi Sakuraba,118,Southpaw,Marcus Silveira,120,Orthodox,12/21/1997,John McCarthy,r2,190.5,182.88,NULL,NULL,242,185
FT143,Draw,FALSE,Heavyweight,2,Kazushi Sakuraba,118,Southpaw,Marcus Silveira,120,Orthodox,12/21/1997,John McCarthy,r2,190.5,182.88,NULL,NULL,242,185
FT142,Red ,TRUE ,Light Heavyweight,3,Frank Shamrock,119,Orthodox,Kevin Jackson,105,Switch,12/21/1997,John McCarthy,r2,177.8,177.8,NULL,NULL,199,185
